	# Data1   	  Data2    	  Data3    	  Data4    	  Data5
 1722.39 	  3050.40 	  1422.40 	  3159.65 	  2683.58 	
 1895.64 	  1681.37 	  1082.88 	  1241.76 	  2474.16 	
 4982.70 	  1860.91 	  3424.88 	  1541.53 	  2840.95 	
 2368.19 	  2608.87 	  1013.60 	  1791.83 	  2423.82 	
 2594.99 	  2147.13 	  1666.02 	  3643.92 	  3223.76 	
 4284.19 	  2142.12 	  4060.94 	  2621.39 	  2473.00 	
 2807.40 	  4049.17 	  3142.18 	  3039.43 	  6435.99 	
 3080.53 	  3052.47 	  3564.79 	  2532.51 	  5004.93 	
 2629.38 	  2461.21 	  1861.48 	  2669.95 	  2888.86 	
 1092.54 	  3421.74 	  2442.65 	  2624.37 	  2686.24 	
 3480.28 	  4366.91 	  3602.58 	  6523.14 	  1681.23 	
 2999.60 	  2132.47 	  2134.10 	  2818.07 	  2980.12 	
 4041.08 	  1530.48 	  2334.57 	  1013.65 	  1971.37 	
 2848.89 	  3290.24 	  2056.23 	  1484.40 	  2531.54 	
 2945.47 	  2174.53 	  1011.11 	  2719.30 	  2246.39 	
 2373.46 	  1260.43 	  3439.87 	  4461.68 	  2792.14 	
 2250.20 	  3236.96 	  2764.55 	  2984.03 	  2762.13 	
 3405.62 	  2137.58 	  1587.30 	  2632.61 	  3459.07 	
 2027.37 	  1938.29 	  2065.86 	  3340.92 	  5008.62 	
 2787.26 	  2067.73 	  4819.20 	  2714.42 	  2173.99 	
 1478.59 	  1152.35 	  4899.45 	  1576.89 	  2354.98 	
 4096.61 	  1662.00 	  2175.92 	  2530.99 	  1801.62 	
 3041.65 	  2838.92 	  2843.09 	  1954.31 	  2672.36 	
 4089.33 	  3072.70 	  2142.98 	  1883.95 	  2096.91 	
 2255.89 	  1980.25 	  1613.79 	  2964.59 	  1854.04 	
 2475.18 	  3691.39 	  2361.53 	  2780.04 	  1662.96 	
 2602.65 	  2156.23 	  2632.13 	  3042.61 	  2412.13 	
 2468.71 	  2108.60 	  2132.16 	  1890.82 	  3146.18 	
 2188.55 	  3279.90 	  2259.25 	  3136.39 	  1685.92 	
 2168.31 	  1941.35 	  1575.04 	  4283.59 	  1915.07 	
 4018.02 	  7076.01 	  1371.45 	  2958.18 	  1848.70 	
 3891.40 	  2632.73 	  1954.73 	  1534.48 	  2084.61 	
 1148.88 	  1560.35 	  2769.30 	  1913.78 	  2280.48 	
 1791.80 	  1298.97 	  1753.31 	  1996.77 	  2080.88 	
 4432.00 	  1977.85 	  3504.91 	  1036.10 	  3147.07 	
 2003.31 	  1378.91 	  1266.18 	   633.27 	  1631.96 	
 3561.29 	  1596.68 	  3016.18 	  1987.21 	  2543.66 	
 2483.32 	  1671.85 	  2718.07 	  3531.04 	  1880.60 	
 1786.75 	  4316.04 	   887.83 	  3828.13 	  1943.48 	
 2204.82 	  2113.45 	  3691.77 	  3030.37 	  2897.11 	
 3293.01 	  1260.25 	  2353.15 	  2051.86 	  2574.22 	
 2918.12 	  2256.34 	  1629.00 	  1387.92 	  1772.47 	
 2612.48 	  4885.60 	  1437.68 	  1119.19 	  1670.27 	
 4597.27 	  1753.09 	  3930.80 	  1753.26 	  2038.22 	
 4167.87 	  1927.61 	  3013.30 	  3186.18 	  1511.92 	
 2341.31 	  1911.13 	  2785.01 	  1404.65 	  3015.67 	
 3181.05 	  1906.62 	  1405.80 	  1366.86 	  1660.59 	
  454.00 	  1961.96 	  2426.52 	  1955.06 	  1806.77 	
  670.16 	  2666.69 	  1595.50 	  4867.89 	  1946.99 	
 2196.39 	  1829.00 	  2664.82 	  3239.09 	  3883.66 	
 1916.21 	  2677.09 	  2123.87 	  2133.24 	  2699.35 	
 2850.28 	  2508.06 	  1876.38 	  1882.89 	  2714.76 	
 2800.34 	  1981.98 	   636.47 	  4178.37 	  2344.16 	
 3254.70 	  3831.58 	  1829.44 	  1912.40 	  2987.78 	
